TableName,ColumnName,PandasDataType
FTO_SAIDA,ItemProc_des,string
FTO_SAIDA,DtPgto_des,datetime64[ns]
FTO_SAIDA,Acrescimo_des,Float64
FTO_SAIDA,Desconto_des,Float64
FTO_SAIDA,TotalLiq_des,Float64
FTO_SAIDA,TotalBruto_des,Float64
FTO_SAIDA,Banco_des,Int64
FTO_SAIDA,ContaCorr_des,string
FTO_SAIDA,Cap_des,string
FTO_SAIDA,CategMovFin_Des,string
FTO_SAIDA,Desc_cmf,string
FTO_SAIDA,ChqNome_Des,string
FTO_SAIDA,NumChq_Des,string
FTO_SAIDA,DataVencParc_Des,datetime64[ns]
FTO_SAIDA,DATADOC,datetime64[ns]
FTO_SAIDA,InsumoPL_des,string
FTO_SAIDA,CodForn_Des,Int64
FTO_SAIDA,TipoProc_des,Int64
FTO_SAIDA,ItemPL_des,string
FTO_SAIDA,CompPL_des,string
FTO_SALDOBANCARIO,Empresa_sdcc,Int64
FTO_SALDOBANCARIO,EmpBcoConta,string
FTO_SALDOBANCARIO,Banco_sdcc,Int64
FTO_SALDOBANCARIO,Conta_sdcc,string
FTO_SALDOBANCARIO,Data_sdcc,datetime64[ns]
FTO_SALDOBANCARIO,Saldo_sdcc,Float64
FTO_SALDOBANCARIO,Calculado_sdcc,Int64
FTO_SALDOBANCARIO,Personalizar,string
FTO_TRANSFERENCIA,GRUPO,string
FTO_TRANSFERENCIA,Tipo,string
FTO_TRANSFERENCIA,Empresa,Int64
FTO_TRANSFERENCIA,Documento,string
FTO_TRANSFERENCIA,Data,datetime64[ns]
FTO_TRANSFERENCIA,Banco,Int64
FTO_TRANSFERENCIA,ContaCorrente,string
FTO_TRANSFERENCIA,Valor,Float64
FTO_TRANSFERENCIA,Obs,string
FTO_TRANSFERENCIA,Descri_banco,string
FTO_TRANSFERENCIA,Historico,string
FTO_TRANSFERENCIA,BancoConta,string
FTO_TRANSFERENCIA,CategMovFin_tb,string
FTO_TRANSFERENCIA,id,string
FTO_TRANSFERENCIA,EmpBcoConta,string
G_GRUPOS,Grupo,string
G_GRUPOS,Tipo,string
G_GRUPOS,Agrupado,string
LocalDateTable_03d41b65-02d1-4611-b939-637f376cc77f,Ano,object
LocalDateTable_03d41b65-02d1-4611-b939-637f376cc77f,MonthNo,object
LocalDateTable_03d41b65-02d1-4611-b939-637f376cc77f,Mês,object
LocalDateTable_03d41b65-02d1-4611-b939-637f376cc77f,QuarterNo,object
LocalDateTable_03d41b65-02d1-4611-b939-637f376cc77f,Trimestre,object
LocalDateTable_03d41b65-02d1-4611-b939-637f376cc77f,Dia,object
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,Ano,object
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,MonthNo,object
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,Mês,object
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,QuarterNo,object
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,Trimestre,object
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,Dia,object
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,Ano,object
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,MonthNo,object
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,Mês,object
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,QuarterNo,object
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,Trimestre,object
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,Dia,object
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,Ano,object
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,MonthNo,object
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,Mês,object
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,QuarterNo,object
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,Trimestre,object
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,Dia,object
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,Ano,object
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,MonthNo,object
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,Mês,object
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,QuarterNo,object
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,Trimestre,object
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,Dia,object
LocalDateTable_9cf4f4e8-95fe-4294-a22d-23cb40852d2a,Ano,object
LocalDateTable_9cf4f4e8-95fe-4294-a22d-23cb40852d2a,MonthNo,object
LocalDateTable_9cf4f4e8-95fe-4294-a22d-23cb40852d2a,Mês,object
LocalDateTable_9cf4f4e8-95fe-4294-a22d-23cb40852d2a,QuarterNo,object
LocalDateTable_9cf4f4e8-95fe-4294-a22d-23cb40852d2a,Trimestre,object
LocalDateTable_9cf4f4e8-95fe-4294-a22d-23cb40852d2a,Dia,object
LocalDateTable_be487a68-b4aa-4455-a035-afc9a009fb51,Ano,object
LocalDateTable_be487a68-b4aa-4455-a035-afc9a009fb51,MonthNo,object
LocalDateTable_be487a68-b4aa-4455-a035-afc9a009fb51,Mês,object
LocalDateTable_be487a68-b4aa-4455-a035-afc9a009fb51,QuarterNo,object
LocalDateTable_be487a68-b4aa-4455-a035-afc9a009fb51,Trimestre,object
LocalDateTable_be487a68-b4aa-4455-a035-afc9a009fb51,Dia,object
LocalDateTable_ec7bb2a9-889d-4017-a206-619033d37866,Ano,object
LocalDateTable_ec7bb2a9-889d-4017-a206-619033d37866,MonthNo,object
LocalDateTable_ec7bb2a9-889d-4017-a206-619033d37866,Mês,object
LocalDateTable_ec7bb2a9-889d-4017-a206-619033d37866,QuarterNo,object
LocalDateTable_ec7bb2a9-889d-4017-a206-619033d37866,Trimestre,object
LocalDateTable_ec7bb2a9-889d-4017-a206-619033d37866,Dia,object
LocalDateTable_ecb3f1cb-e664-4471-b4ed-231999bba45f,Ano,object
LocalDateTable_ecb3f1cb-e664-4471-b4ed-231999bba45f,MonthNo,object
LocalDateTable_ecb3f1cb-e664-4471-b4ed-231999bba45f,Mês,object
LocalDateTable_ecb3f1cb-e664-4471-b4ed-231999bba45f,QuarterNo,object
LocalDateTable_ecb3f1cb-e664-4471-b4ed-231999bba45f,Trimestre,object
LocalDateTable_ecb3f1cb-e664-4471-b4ed-231999bba45f,Dia,object
M_FLUXO,Coluna 1,string
M_SALDO BANCARIO,Coluna 1,string
Medidas,Coluna 1,string
PLANO_CONTAS,Empresa_plt,Int64
PLANO_CONTAS,Serv_plt,string
PLANO_CONTAS,Descr_plt,string
PLANO_CONTAS,Desc_cger,string
PLANO_CONTAS,Item_Pai,string
PLANO_CONTAS,Item_Filho,string
PLANO_CONTAS,Path,object
PlanoContasPMC,Serv_plt,string
PlanoContasPMC,Prod_plt,Int64
PlanoContasPMC,Descr_plt,string
PlanoContasPMC,Desc_cger,string
PlanoContasPMC,Codigo_cger,string
PlanoContasPMC,Obra_Plt,string
PlanoContasPMC,Item_Pai,string
PlanoContasPMC,Item_Filho,string
PlanoContasPMC,Item_Pai1,string
PlanoContasPMC,Item_Filho1,string
PlanoContasPMC,Path,object
PlanoContasPMC,Empresa_plt,Int64
